Year,Borough,Mean (ppb)
Summer 2009,Bronx,25.3
Summer 2010,Bronx,33.2
Summer 2011,Bronx,2.9
Summer 2012,Bronx,34.6
Summer 2013,Bronx,31.3
Summer 2014,Bronx,31.1
Summer 2015,Bronx,30.4
Summer 2016,Bronx,33.1
Summer 2017,Bronx,28.9
Summer 2018,Bronx,30.8
Summer 2019,Bronx,29.9
Summer 2009,Brooklyn,26.3
Summer 2010,Brooklyn,33.8
Summer 2011,Brooklyn,33.2
Summer 2012,Brooklyn,33.9
Summer 2013,Brooklyn,31.1
Summer 2014,Brooklyn,31.3
Summer 2015,Brooklyn,32.5
Summer 2016,Brooklyn,34.0
Summer 2017,Brooklyn,30.3
Summer 2018,Brooklyn,30.9
Summer 2019,Brooklyn,31.1
Summer 2009,Manhattan,20.4
Summer 2010,Manhattan,28.2
Summer 2011,Manhattan,27.3
Summer 2012,Manhattan,29.2
Summer 2013,Manhattan,26.3
Summer 2014,Manhattan,27.0
Summer 2015,Manhattan,27.8
Summer 2016,Manhattan,30.3
Summer 2017,Manhattan,25.3
Summer 2018,Manhattan,27.0
Summer 2019,Manhattan,25.9
Summer 2009,Queens,26.9
Summer 2010,Queens,34.1
Summer 2011,Queens,33.7
Summer 2012,Queens,34.5
Summer 2013,Queens,31.6
Summer 2014,Queens,32.4
Summer 2015,Queens,32.4
Summer 2016,Queens,34.0
Summer 2017,Queens,30.8
Summer 2018,Queens,31.5
Summer 2019,Queens,32.2
Summer 2009,Staten Island,26.7
Summer 2010,Staten Island,35.2
Summer 2011,Staten Island,34.2
Summer 2012,Staten Island,33.8
Summer 2013,Staten Island,31.3
Summer 2014,Staten Island,31.4
Summer 2015,Staten Island,32.6
Summer 2016,Staten Island,35.1
Summer 2017,Staten Island,28.5
Summer 2018,Staten Island,29.8
Summer 2019,Staten Island,29.3
